::::::::: 1 :::::::::											
Position (X)	 Position (Y)	 Position (Z)	 Rotation (X)	 Rotation (Y)	 Rotation (Z)	 Ang Veloc (X)	 Ang Veloc (Y)	 Ang Veloc (Z)	 Velocity (X)	 Velocity (Y)	 Velocity (Z)
-0.2320305	0.02175498	-0.1231812	293.8352	204.158	337.5347	1.953624	0.3474581	0.4279107	-0.01782029	0.1920231	0.08469831
-0.231721	0.02683508	-0.1217551	291.8332	207.7759	333.4676	2.50109	0.2111944	0.5601453	-0.01057378	0.270299	0.09912083
-0.2301018	0.03411031	-0.119378	289.7039	209.4461	330.679	2.831729	-0.2390643	0.3414898	0.03715501	0.3794751	0.1312005
-0.2292913	0.04045486	-0.1167413	287.3838	208.8367	331.3448	2.87463	-0.1974376	-0.2786782	0.04634003	0.429017	0.1594749
-0.2291694	0.04579222	-0.1137707	285.0407	211.3165	328.8757	3.11994	-0.1293379	-0.4248785	0.03191346	0.4440736	0.1856712
-0.2303008	0.05103803	-0.111676	284.5704	219.2483	320.5978	2.966108	-0.09368062	0.2064005	0.005988442	0.4548058	0.1876881
-0.2305738	0.05561793	-0.1090798	283.5453	224.3046	315.3256	2.867429	-0.08251444	0.2592836	-0.000464501	0.4455002	0.1997937
-0.2305872	0.05966473	-0.1065407	282.2618	229.1081	310.5966	2.783996	0.007994817	0.142047	-0.004352616	0.4299096	0.202448
-0.2309332	0.06291747	-0.1044804	281.766	233.2319	306.4815	2.476356	0.04596538	0.1680548	-0.01231985	0.3950861	0.1970171
-0.2311002	0.06649268	-0.1025827	281.4154	238.9667	300.6989	2.315841	0.06792737	0.2573676	-0.01291119	0.3764317	0.1898301
-0.2314058	0.06916726	-0.1007532	281.0628	242.1592	297.4192	2.002663	0.04133142	0.1846796	-0.009229446	0.3335503	0.1818399
-0.2305722	0.0717411	-0.09883547	280.914	245.6414	293.8411	1.731238	0.02195967	0.2393984	-0.001587451	0.3054805	0.1705283
-0.230341	0.07433629	-0.09714341	280.8105	249.5155	289.7498	1.588161	-0.03992848	0.2563799	0.004185777	0.2864289	0.1651409
-0.2305078	0.07655668	-0.09555852	280.4749	253.6263	285.502	1.482303	-0.06530455	0.1571708	0.0102169	0.2521698	0.1545244
-0.2294033	0.07801414	-0.09396207	280.5638	255.2761	283.6138	1.214345	-0.1227195	0.2141796	0.01875453	0.2263056	0.1408502
-0.2287866	0.07926953	-0.0929594	280.3776	258.1922	280.4873	1.143511	-0.1528153	0.1338321	0.02822923	0.1961566	0.127015
